"Characteristic","Group","Percentage"
"ENT visit in the last year","Non-wedding",19.8
"ENT visit in the last year","Current wedding-band",31.8
"ENT visit in the last year","Former wedding-band",30
"Phoniatrician visit in the last year","Non-wedding",10.4
"Phoniatrician visit in the last year","Current wedding-band",20.5
"Phoniatrician visit in the last year","Former wedding-band",27.5
"OTC voice products or medications","Non-wedding",29
"OTC voice products or medications","Current wedding-band",38.6
"OTC voice products or medications","Former wedding-band",37.5
"Individual singing lessons","Non-wedding",72
"Individual singing lessons","Current wedding-band",50
"Individual singing lessons","Former wedding-band",67.5
"Participation in singing classes","Non-wedding",68
"Participation in singing classes","Current wedding-band",65.9
"Participation in singing classes","Former wedding-band",77.5
