"Characteristic","Category","Non-wedding CCM singers","Current wedding-band singers","Former wedding-band singers","Omnibus P value","BH q value","VariableID","Adjusted pairwise contrasts"
"Participation in singing classes","No","105/328 (32.0%)","15/44 (34.1%)","9/40 (22.5%)",".43237",".4864","Participation in singing classes","Current vs non-wedding: OR 0.63 (95% CI 0.27 to 1.44), P = .275, BH q = .699
Current vs former: OR 0.66 (95% CI 0.20 to 2.19), P = .496, BH q = .773
Former vs non-wedding: OR 0.95 (95% CI 0.36 to 2.53), P = .924, BH q = .924"
"Participation in singing classes","Yes","223/328 (68.0%)","29/44 (65.9%)","31/40 (77.5%)",".43237",".4864","Participation in singing classes","Current vs non-wedding: OR 0.63 (95% CI 0.27 to 1.44), P = .275, BH q = .699
Current vs former: OR 0.66 (95% CI 0.20 to 2.19), P = .496, BH q = .773
Former vs non-wedding: OR 0.95 (95% CI 0.36 to 2.53), P = .924, BH q = .924"
"Individual singing lessons","No","92/328 (28.0%)","22/44 (50.0%)","13/40 (32.5%)",".01212",".0273","Individual singing lessons","Current vs non-wedding: OR 0.23 (95% CI 0.10 to 0.53), P < .001, BH q = .008
Current vs former: OR 0.47 (95% CI 0.15 to 1.46), P = .191, BH q = .699
Former vs non-wedding: OR 0.48 (95% CI 0.19 to 1.22), P = .122, BH q = .695"
"Individual singing lessons","Yes","236/328 (72.0%)","22/44 (50.0%)","27/40 (67.5%)",".01212",".0273","Individual singing lessons","Current vs non-wedding: OR 0.23 (95% CI 0.10 to 0.53), P < .001, BH q = .008
Current vs former: OR 0.47 (95% CI 0.15 to 1.46), P = .191, BH q = .699
Former vs non-wedding: OR 0.48 (95% CI 0.19 to 1.22), P = .122, BH q = .695"
"Regularity of individual singing lessons","Single meetings","54/236 (22.9%)","3/22 (13.6%)","4/27 (14.8%)",".50762",".5076","Regularity of individual singing lessons","Not modeled: conditional on reporting individual singing lessons."
"Regularity of individual singing lessons","Regular","182/236 (77.1%)","19/22 (86.4%)","23/27 (85.2%)",".50762",".5076","Regularity of individual singing lessons","Not modeled: conditional on reporting individual singing lessons."
"Self-reported knowledge of vocal technique","Enough knowledge","12/328 (3.7%)","2/44 (4.5%)","2/40 (5.0%)",".11149",".2007","Self-reported knowledge of vocal technique","Not modeled: retained as a multicategorical variable with no unambiguous binary coding."
"Self-reported knowledge of vocal technique","Enough, but eager to learn more","178/328 (54.3%)","22/44 (50.0%)","28/40 (70.0%)",".11149",".2007","Self-reported knowledge of vocal technique","Not modeled: retained as a multicategorical variable with no unambiguous binary coding."
"Self-reported knowledge of vocal technique","No, singing intuitively","12/328 (3.7%)","2/44 (4.5%)","3/40 (7.5%)",".11149",".2007","Self-reported knowledge of vocal technique","Not modeled: retained as a multicategorical variable with no unambiguous binary coding."
"Self-reported knowledge of vocal technique","No, but eager to learn more","126/328 (38.4%)","18/44 (40.9%)","7/40 (17.5%)",".11149",".2007","Self-reported knowledge of vocal technique","Not modeled: retained as a multicategorical variable with no unambiguous binary coding."
